OBJECTID,ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,District_HQ_Electrification_2015_Status,District_HQ_Electrification_2015_Comment,Shape_Length,Shape_Area
58,56.000000000000000,KISORO,Kisoro,408.000000000000000,KISORO,Kisoro,SOUTH WESTERN,WESTERN REGION,62290.000000000000000,281705.000000000000000,126055.000000000000000,155650.000000000000000,729.516065700760920,386.153250414572990,4.522475517739605,52649.000000000000000,8515.000000000000000,44543.000000000000000,67550.000000000000000,29590.000000000000000,72587.000000000000000,48453.000000000000000,53683.000000000000000,8607.000000000000000,39645.000000000000000,11794.000000000000000,3350.000000000000000,59779.000000000000000,53951.000000000000000,58022.000000000000000,55197.000000000000000,45194.000000000000000,17096.000000000000000,613.000000000000000,61677.000000000000000,51125.000000000000000,11165.000000000000000,26616.000000000000000,35674.000000000000000,10566.000000000000000,49159.000000000000000,2565.000000000000000,4718.000000000000000,7.574249478246910,4147.000000000000000,40928.000000000000000,12497.000000000000000,Electrified,,154262.920298735930000,729520204.929015640000000
59,57.000000000000000,KITGUM,Kitgum,305.000000000000000,KITGUM,Kitgum,ACHOLI,NORTHERN REGION,39726.000000000000000,203878.000000000000000,99105.000000000000000,104773.000000000000000,4104.936694034090600,49.666539388124079,5.132104918693047,37991.000000000000000,6915.000000000000000,20799.000000000000000,48515.000000000000000,34034.000000000000000,57563.000000000000000,30484.000000000000000,31673.000000000000000,8053.000000000000000,15649.000000000000000,19241.000000000000000,5719.000000000000000,37731.000000000000000,30867.000000000000000,35955.000000000000000,30107.000000000000000,29849.000000000000000,9877.000000000000000,28675.000000000000000,11051.000000000000000,32689.000000000000000,7037.000000000000000,6649.000000000000000,33077.000000000000000,10520.000000000000000,18170.000000000000000,11036.000000000000000,4610.000000000000000,11.604490761717766,7832.000000000000000,16055.000000000000000,11229.000000000000000,Electrified,,393300.691794289680000,4104993789.557733100000000
60,58.000000000000000,KOBOKO,Koboko,319.000000000000000,KOBOKO,Koboko,WEST NILE,NORTHERN REGION,30284.000000000000000,206276.000000000000000,102098.000000000000000,104178.000000000000000,773.224199424305080,266.773854405462660,6.811385550125479,38337.000000000000000,8158.000000000000000,20945.000000000000000,55688.000000000000000,24201.000000000000000,52712.000000000000000,33392.000000000000000,21788.000000000000000,8496.000000000000000,16177.000000000000000,12068.000000000000000,3955.000000000000000,29416.000000000000000,25498.000000000000000,27984.000000000000000,28618.000000000000000,21043.000000000000000,9241.000000000000000,24401.000000000000000,5883.000000000000000,25805.000000000000000,4479.000000000000000,9865.000000000000000,20419.000000000000000,6436.000000000000000,21286.000000000000000,2562.000000000000000,3912.000000000000000,12.917712323339057,4266.000000000000000,7233.000000000000000,14873.000000000000000,Electrified,"Independent Grid, powered by Nyagak I Hydropower, Operated by WENRECO",153640.491721309460000,773235050.053341980000000
61,59.000000000000000,KOLE,Kole,325.000000000000000,KOLE,Kole,LANGO,NORTHERN REGION,48394.000000000000000,239327.000000000000000,117164.000000000000000,122163.000000000000000,1060.758558966038700,225.618731027050160,4.945385791627062,43468.000000000000000,10013.000000000000000,17866.000000000000000,77829.000000000000000,24816.000000000000000,71452.000000000000000,30895.000000000000000,44382.000000000000000,4012.000000000000000,28129.000000000000000,30542.000000000000000,3472.000000000000000,46861.000000000000000,41959.000000000000000,45507.000000000000000,43273.000000000000000,38157.000000000000000,10237.000000000000000,33894.000000000000000,14500.000000000000000,42942.000000000000000,5452.000000000000000,14934.000000000000000,33460.000000000000000,5812.000000000000000,36632.000000000000000,5950.000000000000000,2820.000000000000000,5.827168657271563,9296.000000000000000,26457.000000000000000,9821.000000000000000,Electrified,,200428.907027939130000,1060771187.058471700000000
62,60.000000000000000,KOTIDO,Kotido,306.000000000000000,KOTIDO,Kotido,KARAMOJA,NORTHERN REGION,26192.000000000000000,181050.000000000000000,86169.000000000000000,94881.000000000000000,3610.420461879182300,50.146513934215172,6.912416004886988,4984.000000000000000,34349.000000000000000,73016.000000000000000,4386.000000000000000,5604.000000000000000,7258.000000000000000,63626.000000000000000,19473.000000000000000,6719.000000000000000,2283.000000000000000,3818.000000000000000,754.000000000000000,24853.000000000000000,8397.000000000000000,18149.000000000000000,12334.000000000000000,24229.000000000000000,1963.000000000000000,21486.000000000000000,4706.000000000000000,23801.000000000000000,2391.000000000000000,3856.000000000000000,22336.000000000000000,1369.000000000000000,5194.000000000000000,19629.000000000000000,2054.000000000000000,7.842089187538180,740.000000000000000,430.000000000000000,22968.000000000000000,Procurement of EPC Contractors is ongoing,Procurement of EPC (Engineering Procurement & Construction) Contractors is ongoing,329548.903815246540000,3610468109.656573800000000
63,61.000000000000000,KUMI,Kumi,208.000000000000000,KUMI,Kumi,TESO,EASTERN REGION,40805.000000000000000,239268.000000000000000,116457.000000000000000,122811.000000000000000,1074.061819158614100,222.769300362464210,5.863693174856023,49519.000000000000000,5758.000000000000000,16430.000000000000000,68878.000000000000000,32733.000000000000000,65665.000000000000000,34929.000000000000000,33595.000000000000000,7210.000000000000000,21594.000000000000000,18304.000000000000000,3369.000000000000000,39534.000000000000000,35584.000000000000000,38400.000000000000000,36928.000000000000000,28099.000000000000000,12706.000000000000000,27348.000000000000000,13457.000000000000000,31131.000000000000000,9674.000000000000000,5302.000000000000000,35503.000000000000000,5529.000000000000000,27942.000000000000000,7334.000000000000000,3225.000000000000000,7.903443205489523,4023.000000000000000,14417.000000000000000,19140.000000000000000,Electrified,,178873.575017455850000,1074073035.992144800000000
64,62.000000000000000,KWEEN,Kween,228.000000000000000,KWEEN,Kween,ELGON,EASTERN REGION,17870.000000000000000,93667.000000000000000,47404.000000000000000,46263.000000000000000,814.842421906613480,114.951059839070180,5.241578063794068,22668.000000000000000,3609.000000000000000,5239.000000000000000,20951.000000000000000,19583.000000000000000,29188.000000000000000,14865.000000000000000,15102.000000000000000,2768.000000000000000,8310.000000000000000,1805.000000000000000,874.000000000000000,17108.000000000000000,16086.000000000000000,17004.000000000000000,17152.000000000000000,17327.000000000000000,543.000000000000000,7533.000000000000000,10337.000000000000000,17141.000000000000000,729.000000000000000,5523.000000000000000,12347.000000000000000,2091.000000000000000,12934.000000000000000,2845.000000000000000,720.000000000000000,4.029099048684947,2440.000000000000000,9955.000000000000000,4755.000000000000000,Electrified,,214170.625533282960000,814850840.479881050000000
65,63.000000000000000,KYANKWANZI,Kyankwanzi,123.000000000000000,KYANKWANZI,Kyankwanzi,CENTRAL 2,CENTRAL REGION,47773.000000000000000,214693.000000000000000,111539.000000000000000,103154.000000000000000,2472.944148937836000,86.816760537116721,4.494023820986750,38967.000000000000000,4764.000000000000000,22017.000000000000000,63683.000000000000000,24290.000000000000000,64125.000000000000000,32930.000000000000000,37388.000000000000000,10385.000000000000000,29908.000000000000000,20726.000000000000000,5758.000000000000000,43191.000000000000000,41602.000000000000000,45198.000000000000000,42204.000000000000000,29045.000000000000000,18728.000000000000000,13323.000000000000000,34450.000000000000000,35860.000000000000000,11913.000000000000000,22071.000000000000000,25702.000000000000000,7951.000000000000000,36504.000000000000000,3318.000000000000000,5193.000000000000000,10.870156783120173,3946.000000000000000,28226.000000000000000,10408.000000000000000,Electrified,,253588.492096343950000,2472968399.675387900000000
66,64.000000000000000,KYEGEGWA,Kyegegwa,422.000000000000000,KYEGEGWA,Kyegegwa,WESTERN,WESTERN REGION,60085.000000000000000,281637.000000000000000,140617.000000000000000,141020.000000000000000,1747.664676367076700,161.150479155673790,4.687309644670051,43751.000000000000000,15622.000000000000000,26540.000000000000000,76142.000000000000000,34444.000000000000000,90462.000000000000000,45548.000000000000000,50614.000000000000000,9471.000000000000000,34730.000000000000000,11326.000000000000000,4528.000000000000000,55727.000000000000000,52301.000000000000000,57511.000000000000000,56160.000000000000000,50736.000000000000000,9349.000000000000000,13930.000000000000000,46155.000000000000000,52588.000000000000000,7497.000000000000000,45526.000000000000000,14559.000000000000000,9414.000000000000000,48466.000000000000000,2205.000000000000000,6987.000000000000000,11.628526254472831,3724.000000000000000,37972.000000000000000,11402.000000000000000,Electrified,Operated by Kyegegwa Rural Electricity Cooperative Society Limited (KRECS),231316.041327813320000,1747679719.098608300000000
67,65.000000000000000,KYENJOJO,Kyenjojo,415.000000000000000,KYENJOJO,Kyenjojo,WESTERN,WESTERN REGION,91532.000000000000000,422204.000000000000000,210599.000000000000000,211605.000000000000000,2352.627691486849900,179.460609737688260,4.612638203032820,70042.000000000000000,18630.000000000000000,41926.000000000000000,120130.000000000000000,48858.000000000000000,130624.000000000000000,60163.000000000000000,68188.000000000000000,23344.000000000000000,54222.000000000000000,17796.000000000000000,7331.000000000000000,86040.000000000000000,78212.000000000000000,86704.000000000000000,84730.000000000000000,74030.000000000000000,17502.000000000000000,12394.000000000000000,79138.000000000000000,77008.000000000000000,14524.000000000000000,50346.000000000000000,41186.000000000000000,15209.000000000000000,73567.000000000000000,2756.000000000000000,10277.000000000000000,11.227767338198664,6039.000000000000000,59664.000000000000000,15552.000000000000000,Electrified,Operated by Ferdsult Engineering Services Limited (FESL),265938.172285265460000,2352648665.253395600000000
68,66.000000000000000,LAMWO,Lamwo,326.000000000000000,LAMWO,Lamwo,ACHOLI,NORTHERN REGION,27185.000000000000000,134371.000000000000000,65106.000000000000000,69265.000000000000000,5442.629132315914800,24.688619550092927,4.942836122861873,26102.000000000000000,5296.000000000000000,13714.000000000000000,34570.000000000000000,17177.000000000000000,34213.000000000000000,21760.000000000000000,24157.000000000000000,3028.000000000000000,9435.000000000000000,13543.000000000000000,1817.000000000000000,25464.000000000000000,29593.000000000000000,32972.000000000000000,33453.000000000000000,24058.000000000000000,3127.000000000000000,23687.000000000000000,3498.000000000000000,25880.000000000000000,1305.000000000000000,6413.000000000000000,20772.000000000000000,6335.000000000000000,9741.000000000000000,11109.000000000000000,1348.000000000000000,4.958616884311201,5150.000000000000000,9196.000000000000000,11491.000000000000000,Electrified,,376927.587604398490000,5442706321.923176800000000
69,67.000000000000000,LIRA,Lira,307.000000000000000,LIRA,Lira,LANGO,NORTHERN REGION,89170.000000000000000,408043.000000000000000,196663.000000000000000,211380.000000000000000,1341.999398503691100,304.056023016822340,4.576012111696759,68199.000000000000000,15993.000000000000000,32787.000000000000000,111312.000000000000000,71366.000000000000000,131300.000000000000000,53460.000000000000000,57247.000000000000000,31923.000000000000000,53428.000000000000000,47935.000000000000000,8064.000000000000000,85594.000000000000000,79451.000000000000000,82821.000000000000000,78902.000000000000000,53671.000000000000000,35499.000000000000000,39908.000000000000000,49262.000000000000000,58326.000000000000000,30844.000000000000000,13508.000000000000000,75662.000000000000000,21668.000000000000000,61489.000000000000000,6013.000000000000000,14152.000000000000000,15.870808567904005,17072.000000000000000,39688.000000000000000,18258.000000000000000,Electrified,,292467.398636422240000,1342015401.303600300000000
70,68.000000000000000,LUUKA,Luuka,229.000000000000000,LUUKA,Luuka,EAST CENTRAL,EASTERN REGION,44404.000000000000000,238020.000000000000000,113566.000000000000000,124454.000000000000000,647.294201095767450,367.715328821221480,5.360327898387533,50299.000000000000000,6106.000000000000000,17091.000000000000000,59531.000000000000000,36633.000000000000000,64659.000000000000000,30547.000000000000000,36415.000000000000000,7989.000000000000000,28144.000000000000000,22392.000000000000000,3780.000000000000000,42568.000000000000000,38133.000000000000000,42565.000000000000000,41818.000000000000000,8590.000000000000000,35814.000000000000000,3699.000000000000000,40705.000000000000000,32653.000000000000000,11751.000000000000000,2634.000000000000000,41770.000000000000000,9100.000000000000000,33299.000000000000000,2005.000000000000000,3718.000000000000000,8.373119538780289,1894.000000000000000,35068.000000000000000,3724.000000000000000,Electrified,,165198.717235392370000,647300229.384951470000000
71,69.000000000000000,LUWERO,Luwero,104.000000000000000,LUWERO,Luwero,CENTRAL 2,CENTRAL REGION,105422.000000000000000,456958.000000000000000,226805.000000000000000,230153.000000000000000,2215.954706181190900,206.212698628433120,4.334560148735558,93229.000000000000000,4198.000000000000000,21977.000000000000000,111926.000000000000000,96732.000000000000000,161241.000000000000000,37202.000000000000000,62237.000000000000000,43185.000000000000000,74455.000000000000000,40554.000000000000000,15334.000000000000000,94065.000000000000000,98667.000000000000000,101916.000000000000000,92771.000000000000000,20829.000000000000000,84593.000000000000000,6226.000000000000000,99196.000000000000000,42234.000000000000000,63188.000000000000000,18833.000000000000000,86589.000000000000000,33743.000000000000000,69142.000000000000000,2537.000000000000000,28292.000000000000000,26.836903113202176,15334.000000000000000,51053.000000000000000,10743.000000000000000,Electrified,,283803.672877070490000,2215975430.968247900000000
72,70.000000000000000,LWENGO,Lwengo,124.000000000000000,LWENGO,Lwengo,CENTRAL 1,CENTRAL REGION,61828.000000000000000,274953.000000000000000,133474.000000000000000,141479.000000000000000,1024.346353659613000,268.418000432855540,4.447062819434560,60258.000000000000000,3801.000000000000000,17475.000000000000000,76935.000000000000000,37209.000000000000000,27201.000000000000000,272095.000000000000000,46716.000000000000000,15112.000000000000000,44104.000000000000000,23811.000000000000000,9324.000000000000000,57834.000000000000000,56337.000000000000000,59703.000000000000000,53966.000000000000000,14508.000000000000000,47320.000000000000000,1721.000000000000000,60107.000000000000000,35637.000000000000000,26191.000000000000000,38485.000000000000000,23343.000000000000000,13851.000000000000000,46183.000000000000000,1794.000000000000000,11214.000000000000000,18.137413469625415,6727.000000000000000,39957.000000000000000,3930.000000000000000,Electrified,,184266.800158297210000,1024353742.618137600000000
73,71.000000000000000,LYANTONDE,Lyantonde,114.000000000000000,LYANTONDE,Lyantonde,CENTRAL 1,CENTRAL REGION,20639.000000000000000,93753.000000000000000,46714.000000000000000,47039.000000000000000,866.144537491863620,108.241749433050830,4.542516594796259,17799.000000000000000,1505.000000000000000,8859.000000000000000,26967.000000000000000,12456.000000000000000,30711.000000000000000,11726.000000000000000,14446.000000000000000,6193.000000000000000,14163.000000000000000,6622.000000000000000,3241.000000000000000,19478.000000000000000,18061.000000000000000,19738.000000000000000,18001.000000000000000,8635.000000000000000,12004.000000000000000,3377.000000000000000,17262.000000000000000,8773.000000000000000,4332.000000000000000,15634.000000000000000,5005.000000000000000,4187.000000000000000,15350.000000000000000,1102.000000000000000,4332.000000000000000,20.989389020785890,3100.000000000000000,10641.000000000000000,2566.000000000000000,Electrified,,147504.728414421700000,866151036.430197600000000
74,72.000000000000000,MANAFWA,Manafwa,223.000000000000000,MANAFWA,Manafwa,ELGON,EASTERN REGION,72905.000000000000000,353825.000000000000000,173580.000000000000000,180245.000000000000000,533.951786183721880,662.653462644764090,4.853233660242782,74186.000000000000000,6755.000000000000000,15597.000000000000000,108739.000000000000000,50002.000000000000000,98577.000000000000000,50683.000000000000000,63023.000000000000000,9882.000000000000000,43109.000000000000000,16931.000000000000000,2155.000000000000000,71196.000000000000000,63345.000000000000000,68251.000000000000000,66921.000000000000000,57808.000000000000000,15097.000000000000000,9517.000000000000000,63388.000000000000000,63762.000000000000000,9143.000000000000000,11330.000000000000000,61575.000000000000000,14238.000000000000000,52923.000000000000000,5744.000000000000000,3409.000000000000000,4.675948151704272,7990.000000000000000,56803.000000000000000,4703.000000000000000,Electrified,,111838.013640154790000,533956801.378859100000000
75,73.000000000000000,MARACHA,Maracha,320.000000000000000,MARACHA,Maracha,WEST NILE,NORTHERN REGION,36284.000000000000000,186134.000000000000000,87900.000000000000000,98234.000000000000000,441.376603429150070,421.712430051536050,5.129919523757028,9134.000000000000000,21380.000000000000000,24343.000000000000000,48154.000000000000000,22906.000000000000000,51140.000000000000000,36374.000000000000000,32914.000000000000000,3370.000000000000000,16580.000000000000000,14688.000000000000000,2256.000000000000000,35460.000000000000000,30117.000000000000000,33768.000000000000000,33319.000000000000000,23027.000000000000000,13257.000000000000000,28653.000000000000000,7631.000000000000000,33813.000000000000000,2471.000000000000000,7346.000000000000000,28938.000000000000000,4438.000000000000000,27600.000000000000000,4246.000000000000000,2173.000000000000000,5.988865615698379,7902.000000000000000,23706.000000000000000,2503.000000000000000,Electrified,"Independent Grid, powered by Nyagak I Hydropower, Operated by WENRECO",115091.441984772320000,441382561.929041920000000
